Genres,revenue,Year
Action,1000000,2010
Action,98159963,2010
Comedy,288347692,2010
Comedy,90029656,2010
Comedy,77477008,2010
Comedy,706000,2007
Action,10539000,2010
Comedy,752600867,2010
Comedy,5024782,2009
Action,318502923,2010
Action,126248813,2010
Action,825532764,2010
Comedy,271430189,2010
Action,261930431,2010
Action,357852395,2010
Comedy,34705850,2010
Action,6629178,2010
Action,293329073,2010
Comedy,178174,2009
Comedy,86387857,2010
Comedy,93246388,2010
Action,36000000,2010
Action,170432927,2010
Action,47664559,2010
Comedy,744816,2009
Comedy,83188165,2010
Comedy,7022728,2009
Comedy,823258,2004
Comedy,49830607,2010
Action,31327899,2010
Comedy,42045846,2010
Action,300228084,2010
Comedy,74952305,2010
Comedy,112483764,2010
Comedy,6491240,2010
Comedy,111731,2009
Comedy,32005248,2010
Comedy,105610124,2010
Comedy,7,2009
Comedy,98017,2010
Comedy,117224271,2010
Action,71664962,2010
Comedy,211780824,2010
Comedy,538000,2010
Action,167805466,2010
Comedy,58785180,2010
Action,3453043,2010
Comedy,123820,2010
Comedy,453079,2010
Comedy,88335,2010
Comedy,81010,2009
Action,278731369,2010
Action,16504936,2010
Comedy,18124262,2010
Comedy,48668907,2010
Comedy,8454301,2010
Action,1275162,2007
Comedy,310650585,2010
Comedy,237382724,2010
Action,3218666,2010
Comedy,5476793,2010
Comedy,201584141,2010
Action,227817248,2011
Action,2340363,2010
Action,174822325,2011
Comedy,67112664,2011
Comedy,951179,2010
Comedy,147780440,2011
Comedy,2500000,2011
Action,130786397,2011
Action,108609310,2011
Comedy,6861102,2011
Comedy,4349187,2010
Comedy,6928068,2011
Comedy,215576,2010
Action,51070807,2011
Comedy,83160734,2011
Action,144492830,2011
Action,202466756,2011
Comedy,9069,2009
Action,21500000,2009
Comedy,1611000,2010
Comedy,324138,2010
Action,89792502,2011
Comedy,1749457,2011
Action,748453,2011
Action,63782078,2011
Action,8786756,2010
Comedy,90275,2010
Comedy,45735397,2011
Action,6775121,2010
Comedy,65584679,2010
Comedy,48720000,2009
Action,1188194,2011
Action,626137675,2011
Comedy,59901913,2011
Comedy,288383523,2011
Action,78309131,2011
Action,43059790,2010
Comedy,254455986,2011
Comedy,563706,2010
Action,3964682,2011
Action,353624124,2011
Comedy,2614773,2010
Action,10,2010
Comedy,187361754,2011
Comedy,216197492,2011
Comedy,60072596,2010
Action,1123746996,2011
Comedy,36160375,2011
Comedy,26121638,2011
Comedy,14166853,2011
Action,69055695,2010
Comedy,169852759,2011
Comedy,117000000,2011
